YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FLAG
2021,5,28,9,44,42,1
2021,5,28,9,49,41,1
2021,5,28,9,54,35,1
2021,5,28,10,2,23,1
2021,5,28,10,7,53,1
2021,5,28,10,12,31,1
2021,5,28,10,20,24,1
2021,5,28,10,26,6,1
2021,5,28,10,30,51,1
2021,5,28,10,35,56,1
2021,5,28,10,41,38,1
2021,5,28,10,46,24,1
2021,5,28,10,52,5,1
2021,5,28,10,56,34,1
2021,5,28,11,3,26,1
2021,5,28,11,8,44,1
2021,5,28,11,13,7,1
2021,5,28,11,18,29,1
2021,5,28,11,23,31,1
2021,5,28,11,28,58,1
2021,5,28,11,33,39,1
2021,5,28,11,38,37,1
2021,5,28,11,44,7,1
2021,5,28,11,48,49,1
2021,5,28,11,53,45,1
